slug	risk	outcome	bet	probs	readings	why
total-semantics	5	ok	R1	R1=95	R1=total counts filtered rows before pagination, independent of sort, size, offset and shape, removed by _total=hide	Every sentence about total in the spec converges on this one value and nothing plausible competes with it.
excel-label-scope	4	ok	R1	R1=95	R1=Both xls and xlsx report filetype excel, decided from bytes	The spec offers exactly one label for spreadsheets and never distinguishes the two workbook formats in a response.
export-header-row	4	ok	R1	R1=95	R1=Header row of column names first, then data rows, even with zero rows	Export columns follow source column order is only observable with a header, and a test parsing the CSV would read column names from it.
query-timeout-meaning	4	ok	R1	R1=95; R2=95	R1=Server-side wall-clock budget of several seconds on the whole query; R2=No timeout implemented, treated as untestable	No input in a test can force a slow query, so the row is unreachable; all readings return 200 for ordinary filtered queries.
unrecognized-format-definition	4	ok	R1	R1=95; R2=95	R1=Unusable container magic reports unrecognized format, bad text reports non-tabular; R2=Both branches are one 400 differing only in message	Both branches are 400 with the standard envelope, so the distinction is invisible to any status-based test.
which-hundred-rows	3	ok	R1	R1=97	R1=First 100 rows in source order	In source order plus the determinism section leaves no other window a test could assert.
query-error-ordering	3	ok	R1	R1=97	R1=Fixed deterministic order, every case 400 so only the message differs	Every combination is 400 with the same envelope and tests do not assert message text.
time-like-scope	3	ok	R1	R1=97	R1=H:MM with optional seconds and fraction stays text, everything non-numeric stays text anyway	Colon-bearing values never match a number grammar, so the fixture passes under any reading.
query-ms-semantics	3	ok	R1	R1=96	R1=monotonic-clock milliseconds around the handler, float, clamped at zero	Tests can only assert presence, type and non-negativity, which every sane implementation meets.
header-cells-typed	2	untested	R1	R1=97; R+=10	R1=Column names are always strings; R+=Header cells type-inferred	The schema shows quoted column names and no reference would emit a numeric column name.
