slug	risk	outcome	entry_shown	bet	probs	readings	why
empty-file-part	8	ok	v8/T57	R1	R1=90; R2=8	R1=zero-byte file part is 400 whether called missing or non-tabular; R2=empty upload is a 200 empty dataset	The tabular floor makes an empty body a 400 and tests check status and envelope, not which message.
export-content-type	8	ok	ABCHJK/A54	R1	R1=95; R2=65	R1=exactly text/csv with no parameters; R2=text/csv; charset=utf-8	Tests usually check startswith or containment, which both pass, and an equality check passes only R1.
export-unknown-dataset	8	ok	min4/T39	R1	R1=90; R2=15	R1=JSON envelope 404 for unknown id and 400 for bad query on export; R2=CSV or empty error bodies	'all errors use the standard JSON envelope' is unqualified and sits in the same checkpoint as export.
file-size-measurement	8	ok	ABCFGHJK/T78	R1	R1=90; R2=25; R3=10	R1=the file's own bytes, downloaded body or uploaded part; R2=whole HTTP request byte count; R3=parsed result size	A test will serve or upload a file of exactly limit and limit+1 bytes, which only R1 answers predictably.
size-upper-bound	8	ok	v8B/T25	R1	R1=90; R2=30	R1=no cap, any positive integer returns everything available; R2=implementation cap with 400 or clamping	'If it exceeds available rows, return all' is the sentence a test of a huge _size will assert.
convert-error-ordering	7	untested	ABCHJK/A97	R1	R1=93; R2=90; R3=85	R1=Size checked after fetch/multipart but before charset and parsing; R2=Size checked from Content-Length before the body is read; R3=Size checked after parsing succeeds	Every ordering collapses to the same 400 status and envelope for any fixture a test could send, so the order is nearly unobservable.
metadata-response-placement	7	ok	v8B/T105	R1	R1=93; R2=75	R1=Metadata only on GET /datasets/id; /convert body unchanged; R2=/convert also returns dataset_summary	Success response remains is explicit, and tests asserting the exact convert body would reject an added field.
storage-dir-creation-failure	7	untested	min4/T66	R1	R1=92; R2=80	R1=Uncreatable STORAGE_DIR is a startup failure; R2=Fall back to memory-only storage	Tests rarely make a directory uncreatable, and if one did the spec's fatal-config wording favors exiting.
filter-key-split	6	ok	ABCFGHJK/T28	R1	R1=90; R2=88; R3=85	R1=Split at the last __ (rpartition); R2=Split at the first __; R3=Try every split and accept the one naming a real column and comparator	Both split rules give 400 for a__b__exact on a normal dataset, and columns containing __ are very unlikely in fixtures.
export-header-row	5	ok	ABCHJK/A52	R1	R1=95; R2=8	R1=Header row of column names first, then one line per selected row; R2=No header row, data rows only	A CSV export without a header would not be semantically correct CSV of the dataset and any test parsing it with DictReader would fail.
fail-startup-manifestation	5	ok	min4/T47	R1	R1=95; R2=10; R3=15	R1=Environment variable read at startup; bad value exits non-zero before binding; R2=Command-line flag with argparse error; R3=Read per request	Upper-case name and the fixed --port/--address command line make an env var the only reading a harness can exercise.
require-tls-inbound	5	ok	ABCHJK/A94	R1	R1=95; R2=15	R1=REQUIRE_TLS only changes endpoint spelling; plain HTTP still served; R2=REQUIRE_TLS also rejects or redirects plain-HTTP requests	Tests cannot easily speak TLS to the server, so the only assertable behaviour is the absolute https endpoint over a plain request.
which-hundred-rows	5	ok	ABCHJK-rerun/A15	R1	R1=95; R2=30	R1=First 100 rows in source order, later _size default 100 with no ceiling; R2=100 is a hard ceiling even with larger _size	Checkpoint 2 says a _size above the row count returns all rows, so the cap is only a default.
non-numeric-stored-values	5	ok	ABCHJK/A41	R1	R1=95; R2=20	R1=Empty and padded cells are non-numeric, never match less or greater; R2=Empty cells compare as zero or are errors	float of empty fails, which is exactly the parse the spec names.
enrich-changes-id	5	ok	ABCHJK/A106	R1	R1=95; R2=8	R1=convert body unchanged and id unchanged with enrich=yes; R2=enrich yields a distinct dataset id	'Success response remains' plus 'enrich=yes on a cached non-enriched dataset forces re-ingestion' only make sense if the id is shared.
total-semantics	5	ok	ABCHJK/A21	R1	R1=93; R2=5	R1=total is the filtered row count before pagination, unaffected by sort shape or size; R2=total counts the returned page	Checkpoint 3 states it outright.
query-timeout-meaning	4	ok	v8B/T50	R1	R1=95; R2=80	R1=No timeout budget; ordinary queries never time out; R2=An implied budget that large queries exceed	No input in the spec can force a timeout, so tests can only check that normal queries succeed.
query-ms-semantics	4	ok	min4/T16	R1	R1=95; R2=90	R1=handler time from a monotonic clock, unrounded float, clamped non-negative; R2=whole request wall time	Tests can only check presence and non-negativity.
new-routes-methods	3	ok	ABCFGHJK/T44	R1	R1=96; R2=94	R1=/export is its own route; unknown id gives 404, trailing slash tolerated; R2=export only resolves after id lookup, else unknown route	Both readings produce 404 for an unknown id, so no test can tell them apart.
unrecognized-format-definition	3	ok	v8A/T41	R1	R1=96; R2=94	R1=Unusable zip/OLE containers report unrecognized format; untabular text reports non-tabular; R2=Any undecodable content is unrecognized format	Both branches are 400 with the standard envelope; only the message differs and messages are not specified.
row-limit-override	3	ok	min4/T9	R1	R1=95; R2=10	R1=_size raises or lowers the 100-row default; R2=100 is a hard ceiling	Checkpoint 2 names _size with a default of 100 and no ceiling, so _size=500 on a larger dataset returning 500 rows is a near-certain test.
header-cells-typed	3	untested	ABCHJK/A18	R1	R1=97; R2=15	R1=Column names are always strings; R2=Column names are type-inferred like cells	The example shows string columns and no test author would expect a numeric header.
query-error-ordering	3	ok	ABCHJK/A32	R1	R1=97; R2=97	R1=Fixed order: repetition, then _size, _offset, _shape, _rowid, _total, _sort; R2=Any order	Status is 400 either way and hidden tests will not assert which message wins.
time-like-scope	3	ok	min4/T14	R1	R1=97; R2=90	R1=Match the H:MM shape, optional seconds and fraction; R2=Anything a date-time library parses	Colon-bearing tokens never parse as numbers, so both readings leave the examples as text.
